zinc_id,smiles,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,NumValenceElectrons,NumChiralCentersUnassigned,NumChiralCentersAssigned,QED
ZINC000095617678,CC[C@@H]1/C=C(/C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@H](Cl)[C@H](OC)C3)[C@@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,810.466,5.71940000000001,158.13,2,11,6,4,198,14,14,0.146440975046788
ZINC000034051848,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,298.455,3.86424,15.27,1,3,3,3,80,0,0,0.925960221891986
ZINC000004095696,CC1(C)C[C@@H]1C(=O)N/C(=C\CCCCSC[C@H](N)C(=O)O)C(=O)O,358.46,1.4326,129.72,4,5,11,1,82,2,2,0.32459272947504
ZINC000000014864,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,349.316,2.1769,76.72,1,6,5,3,84,2,2,0.76397576144876
ZINC000001529425,NCCCCCC(=O)O,131.175,0.5901,63.32,2,2,5,0,31,0,0,0.536584418594431
ZINC000150588351,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2ccc3c(c2)O[C@@H](c2ccccc2)n2c-3cc3cc(-c4c[nH]c([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)n4)ccc32)c[nH]1)C(C)C,882.035,8.11600000000001,188.8,4,10,11,9,237,5,5,0.099661312474857
ZINC000016052277,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(=N)O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,444.44,0.70237,182.61,7,9,2,4,110,6,6,0.254916787913088
ZINC000004213474,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1,454.966,3.8893,72.83,1,5,2,5,108,8,8,0.640668386370153
ZINC000060325170,O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1,531.316,3.7811,64.6,3,4,4,4,101,1,1,0.526222571967464
ZINC000004097476,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,613.915,3.1154,95.5,3,3,3,1,61,0,0,0.456991539168375
ZINC000003787097,N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,393.846,3.1447,88.56,2,5,3,4,93,1,1,0.835804963332745
ZINC000012358719,CCOC(=O)c1ccc(N)cc1,165.192,1.4455,52.32,1,3,2,1,43,0,0,0.532618079367454
