zinc_id,smiles,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,NumValenceElectrons,NumChiralCentersUnassigned,NumChiralCentersAssigned,QED
ZINC000000538386,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,386.561,4.2148,32.78,0,4,8,3,100,0,0,0.681092178568858
ZINC000006661227,N[C@@H](Cc1c[nH]cn1)C(=O)O,155.157,-0.6359,92,3,3,3,1,37,1,1,0.541194499113104
ZINC000238809664,COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCc3cc(OC)c(OC)cc3[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,929.161,8.06550000000001,126.44,0,12,24,6,244,4,4,0.0383493961362308
ZINC000002005550,C=CCC1([C@@H](C)CCC)C(=O)NC(=O)NC1=O,238.287,1.3511,75.27,2,3,5,1,60,1,1,0.560488360060883
ZINC000005179119,C/C(O)=N/S(=O)(=O)c1ccc(N)cc1,214.246,0.9339,92.75,2,3,2,1,50,0,0,0.434898858814231
ZINC000000001148,CN(C)CC/C=C1/c2ccccc2COc2ccccc21,279.383,3.9624,12.47,0,2,3,3,81,0,0,0.842863706973304
ZINC000100371951,C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,541.736,1.9848,130.67,5,8,6,1,125,4,4,0.151326835338473
ZINC000006021043,CN[C@@H](C)Cc1ccccc1,149.237,1.837,12.03,1,1,3,1,43,1,1,0.691108550928469
ZINC000096272772,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,558.148,6.36192000000001,105.24,3,8,9,4,140,0,0,0.278873790537898
ZINC000000006481,Nc1nc2ccc(OC(F)(F)F)cc2s1,234.202,2.7771,48.14,1,4,1,2,45,0,0,0.82482860600773
ZINC000019702309,Clc1ccc2nsnc2c1N=C1NCCN1,253.718,1.525,62.2,2,4,1,3,54,0,0,0.809123665979877
ZINC000169621230,CO[C@H]1C[C@H]2CC[C@H](C)[C@](O)(O2)C(=O)C(=O)N2CCCC[C@@H]2C(=O)O[C@H]([C@@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@@H](C)C[C@@H](C)/C=C/C=C/C=C/1C,958.24,6.19720000000001,204.66,3,14,9,4,243,15,15,0.133923869141377
